age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
36,4,306567,11,9,2,14,6,0,0,0,0,40,39,>50K
51,6,103257,14,15,2,10,1,0,1,0,0,40,39,<=50K
33,2,422718,11,9,2,8,1,0,1,0,0,40,39,<=50K
26,7,70447,11,9,2,11,1,3,1,0,0,40,39,>50K
42,4,195755,11,9,5,3,5,0,1,0,0,40,39,<=50K
49,0,189885,11,9,6,0,2,2,0,0,0,40,39,<=50K
49,4,31264,11,9,0,1,2,0,0,0,0,35,39,<=50K
42,4,152676,5,4,0,3,5,0,1,0,0,40,33,<=50K
36,4,66173,7,12,2,12,6,0,0,0,0,15,39,<=50K
39,4,225605,11,9,2,5,1,0,1,0,0,24,39,<=50K
47,4,183013,11,9,2,8,1,0,1,0,0,40,39,<=50K
36,4,169037,11,9,4,1,2,0,0,0,0,40,39,<=50K
39,4,365739,15,10,0,3,2,0,1,0,0,40,39,<=50K
27,6,65308,11,9,2,5,1,0,1,0,0,50,39,<=50K
34,4,232855,15,10,5,8,5,2,0,0,0,37,39,<=50K
43,4,226902,9,13,2,12,1,0,1,0,0,50,39,>50K
28,4,365411,6,5,2,7,1,0,1,0,0,42,39,<=50K
39,5,163237,15,10,2,5,1,0,1,0,0,65,39,<=50K
40,4,179666,9,13,4,4,2,0,1,0,0,30,2,<=50K
37,4,191754,9,13,2,1,1,0,1,0,0,50,39,>50K
22,4,100345,9,13,4,3,2,0,1,13550,0,55,39,>50K
23,4,32732,9,13,4,10,2,0,1,0,0,15,39,<=50K
29,1,107411,15,10,3,1,4,0,0,0,0,40,39,<=50K
46,4,159869,9,13,2,4,1,0,1,0,0,40,39,>50K
37,4,393360,15,10,4,11,4,2,1,0,0,30,39,<=50K
21,4,111676,15,10,4,8,2,0,0,0,0,40,39,<=50K
42,4,363591,11,9,0,3,5,0,1,0,0,40,39,<=50K
30,4,316471,9,13,4,1,2,0,1,0,0,50,39,<=50K
31,6,312055,11,9,2,4,1,0,1,0,0,70,39,<=50K
33,1,207172,11,9,4,4,2,0,0,0,0,40,39,<=50K
39,4,237943,9,13,2,4,1,0,1,99999,0,70,39,>50K
33,7,290614,11,9,2,8,1,0,1,0,0,40,39,<=50K
38,4,40077,11,9,2,3,1,0,1,0,0,50,39,>50K
47,6,255934,15,10,2,4,1,0,1,0,0,80,39,<=50K
40,4,163985,11,9,2,12,1,0,1,0,0,24,39,<=50K
27,4,179565,9,13,4,1,2,0,0,0,0,37,39,<=50K
34,4,153927,11,9,2,3,1,0,1,0,0,40,39,<=50K
17,4,193830,1,7,4,12,4,0,0,0,0,20,39,<=50K
43,4,124919,11,9,2,8,1,3,1,0,0,60,24,<=50K
67,4,192670,11,9,0,12,2,0,0,0,0,20,39,<=50K
41,4,111483,11,9,4,1,4,0,1,0,0,40,39,<=50K
67,6,286372,9,13,2,14,1,0,1,0,0,40,39,<=50K
42,4,289636,11,9,2,14,1,0,1,0,0,46,39,<=50K
37,4,263094,9,13,2,4,1,0,1,7298,0,40,39,>50K
20,5,104443,15,10,4,1,4,0,0,0,0,20,39,<=50K
79,0,142171,5,4,2,0,1,0,1,1409,0,35,39,<=50K
35,4,310290,11,9,2,14,6,2,0,0,0,40,39,<=50K
36,4,112264,11,9,2,14,1,0,1,0,0,50,39,<=50K
28,4,200511,11,9,5,5,2,0,1,0,0,55,39,<=50K
44,4,296728,12,14,2,4,1,0,1,0,0,40,39,>50K
34,4,152453,2,8,2,3,1,0,1,0,0,40,13,<=50K
41,4,123403,11,9,2,1,1,0,1,0,0,40,39,<=50K
19,4,64112,2,8,4,1,2,0,0,0,0,40,39,<=50K
28,4,584790,8,11,2,8,1,0,1,0,0,40,39,>50K
32,2,42596,9,13,0,10,2,0,1,0,0,40,39,<=50K
36,4,225516,7,12,4,12,2,2,1,10520,0,43,39,>50K
26,4,557236,11,9,4,14,2,0,1,0,0,40,39,<=50K
29,4,270421,9,13,2,3,1,0,1,0,0,50,39,>50K
58,4,151910,11,9,6,1,5,0,0,0,0,40,39,<=50K
48,6,162236,12,14,6,4,5,0,0,0,0,40,0,>50K
38,6,245090,6,5,2,3,1,0,1,0,0,40,26,<=50K
44,4,125461,10,16,2,4,1,0,1,0,0,60,39,>50K
26,4,333541,11,9,4,8,2,0,1,0,0,24,39,<=50K
40,4,70539,15,10,2,12,1,0,1,4386,0,50,39,<=50K
42,4,185057,11,9,5,1,5,0,0,0,0,35,34,<=50K
63,4,106023,11,9,2,3,1,0,1,0,0,40,39,>50K
35,4,272019,1,7,2,3,1,0,1,0,2057,40,39,<=50K
45,7,103406,9,13,2,4,1,0,1,0,1977,60,39,>50K
25,4,274228,11,9,2,13,1,0,1,0,0,84,39,<=50K
20,4,204226,1,7,4,8,4,0,0,0,0,40,39,<=50K
57,0,137658,11,9,2,0,1,1,1,0,0,5,4,<=50K
39,4,144688,11,9,2,1,6,2,0,0,0,50,39,<=50K
70,4,236055,5,4,6,8,2,0,0,0,0,35,39,<=50K
64,7,105748,11,9,2,5,1,0,1,0,0,40,39,<=50K
79,0,100881,7,12,2,0,6,0,0,0,0,2,39,>50K
43,4,302041,11,9,4,1,2,2,0,0,0,40,39,<=50K
36,4,238415,8,11,2,12,1,0,1,0,0,50,39,>50K
31,4,164190,15,10,2,10,1,0,1,0,0,50,39,>50K
38,4,277022,15,10,0,1,5,0,0,0,0,40,4,<=50K
52,4,186272,11,9,0,12,2,0,1,0,0,40,39,<=50K
55,0,205527,11,9,0,0,2,0,1,0,0,20,39,<=50K
70,6,347910,15,10,2,4,1,0,1,0,0,35,39,<=50K
54,4,76344,9,13,4,8,2,0,0,0,0,50,39,<=50K
22,0,243190,15,10,4,0,4,3,1,0,0,40,3,<=50K
28,4,270973,7,12,4,1,4,0,0,0,0,40,39,<=50K
22,4,202745,11,9,4,7,3,0,1,0,0,55,39,<=50K
30,4,227886,11,9,4,4,4,2,0,0,0,35,23,<=50K
53,4,303462,11,9,2,7,1,0,1,0,0,30,39,<=50K
53,4,146378,4,3,2,3,1,0,1,0,0,40,39,<=50K
21,4,40767,15,10,4,6,2,0,1,0,0,40,39,<=50K
53,4,201127,12,14,2,4,1,0,1,0,0,48,39,>50K
47,4,123207,11,9,2,1,6,0,0,0,0,20,39,>50K
23,4,184665,11,9,4,1,2,0,0,0,0,50,39,<=50K
37,0,102541,8,11,2,0,6,4,0,0,0,40,39,<=50K
28,4,206088,9,13,4,12,2,0,0,0,0,40,39,<=50K
27,4,207418,9,13,4,10,2,0,0,0,0,50,39,<=50K
29,4,95465,11,9,2,8,1,0,1,0,0,40,39,<=50K
19,4,164123,1,7,4,8,2,2,1,0,0,40,39,<=50K
40,4,117860,11,9,0,8,2,2,1,0,0,40,39,<=50K
60,4,103344,11,9,2,3,1,0,1,15024,0,40,39,>50K
45,1,162410,15,10,6,13,2,0,0,0,0,45,39,>50K
23,4,117789,9,13,4,4,4,0,0,0,0,40,39,<=50K
25,4,479765,5,4,4,12,3,0,1,0,0,45,13,<=50K
61,7,162678,4,3,2,14,1,0,1,0,0,40,39,<=50K
44,4,467799,11,9,2,3,1,0,1,0,0,40,39,<=50K
37,4,295127,15,10,0,8,2,0,1,0,0,47,39,<=50K
30,4,89735,8,11,2,10,1,0,1,0,0,40,39,>50K
30,4,154843,11,9,2,7,1,0,1,0,0,40,39,<=50K
38,4,125933,9,13,5,4,2,0,1,27828,0,45,39,>50K
64,4,103021,5,4,2,3,1,0,1,0,0,40,39,<=50K
41,4,207375,11,9,4,12,2,0,0,0,0,50,39,<=50K
24,4,194654,11,9,2,11,1,0,1,0,0,40,39,<=50K
17,4,146329,2,8,4,12,4,0,0,0,0,23,39,<=50K
72,4,107814,12,14,4,10,2,0,1,2329,0,60,39,<=50K
27,4,153291,14,15,2,10,6,0,0,0,0,50,39,>50K
47,4,102308,12,14,2,12,1,0,1,0,0,40,39,>50K
22,4,268145,9,13,4,12,2,0,0,0,0,40,39,<=50K
36,4,410034,7,12,2,3,1,0,1,0,0,45,39,<=50K
37,4,126569,12,14,2,13,1,0,1,0,0,60,39,>50K
17,0,212125,0,6,4,0,4,0,0,0,0,20,39,<=50K
21,4,148444,15,10,4,12,4,0,0,0,0,25,39,<=50K
52,4,193116,0,6,2,14,1,0,1,0,0,45,39,<=50K
74,6,109101,15,10,2,4,1,0,1,0,0,4,39,<=50K
32,4,255885,9,13,2,4,1,0,1,0,0,43,39,>50K
53,7,281074,11,9,0,4,2,0,1,0,1092,40,39,<=50K
65,4,105491,9,13,2,4,1,0,1,99999,0,40,39,>50K
70,4,315868,9,13,0,1,2,0,1,0,0,40,39,<=50K
36,6,35945,5,4,2,7,1,0,1,7298,0,45,39,>50K
47,4,162034,9,13,2,12,1,0,1,0,0,70,39,<=50K
39,4,167728,9,13,2,4,1,0,1,0,0,40,39,>50K
28,4,149734,11,9,4,8,5,2,0,0,0,52,39,<=50K
42,6,32546,14,15,0,10,5,0,1,7430,0,40,39,>50K
34,4,137900,11,9,4,12,2,0,0,0,0,35,39,<=50K
39,6,193689,11,9,4,4,2,0,1,0,0,65,39,<=50K
38,4,393945,8,11,0,13,2,0,0,0,0,36,39,<=50K
46,4,195833,9,13,2,14,1,0,1,0,0,50,0,<=50K
26,4,174592,12,14,4,4,4,0,0,0,0,40,39,<=50K
36,0,186815,12,14,2,0,1,0,1,0,0,50,39,<=50K
29,7,201556,9,13,4,10,2,0,1,0,0,50,39,<=50K
44,4,185057,12,14,4,10,2,0,0,0,0,35,39,<=50K
29,4,125976,11,9,5,12,5,0,0,0,0,35,39,<=50K
41,4,227890,15,10,0,3,2,0,1,0,0,46,39,>50K
29,2,115585,15,10,4,6,2,0,1,0,0,50,39,<=50K
49,4,80914,4,3,4,7,2,0,1,0,0,45,39,<=50K
67,5,330144,12,14,2,12,1,0,1,0,0,48,39,>50K
50,4,313321,7,12,0,12,2,0,0,0,0,40,39,<=50K
19,4,70982,8,11,4,8,4,3,1,0,0,16,39,<=50K
60,4,206339,11,9,2,8,1,0,1,0,0,40,39,<=50K
48,4,28497,11,9,2,3,1,0,1,0,0,40,39,<=50K
47,5,214169,11,9,2,5,1,0,1,15024,0,40,39,>50K
23,4,377121,15,10,4,8,5,0,0,0,0,25,39,<=50K
36,4,199439,12,14,2,4,1,0,1,0,0,45,39,>50K
37,4,50837,12,14,2,10,1,0,1,0,0,45,39,>50K
28,4,166320,11,9,4,10,2,0,1,0,0,40,39,<=50K
21,4,149637,15,10,4,1,2,0,0,0,0,25,39,<=50K
27,4,162343,9,13,2,4,1,0,1,0,0,40,6,<=50K
38,6,180220,11,9,2,3,1,0,1,0,0,60,39,<=50K
34,4,103408,15,10,0,10,2,2,1,0,0,40,11,>50K
66,0,182378,5,4,2,0,1,0,1,0,0,30,39,<=50K
45,2,234195,11,9,0,1,5,0,0,0,0,35,39,<=50K
22,4,174975,8,11,4,13,4,0,0,0,0,36,39,<=50K
17,4,56986,2,8,4,12,4,0,0,0,0,18,39,<=50K
38,4,297449,9,13,2,1,1,0,1,7298,0,50,39,>50K
38,4,159179,15,10,2,4,1,0,1,0,1902,50,39,>50K
17,4,205726,1,7,4,12,4,0,0,0,0,15,39,<=50K
48,6,353012,11,9,2,3,1,0,1,0,1902,40,39,>50K
32,4,255424,9,13,2,12,1,0,1,0,0,60,39,>50K
19,4,552354,2,8,4,7,4,0,1,0,0,40,39,<=50K
42,6,326083,8,11,2,10,1,0,1,0,0,40,39,<=50K
23,4,99543,2,8,4,14,2,0,1,0,0,46,39,<=50K
25,0,32276,9,13,2,0,1,0,1,0,0,40,39,<=50K
41,4,29702,8,11,4,3,2,0,1,0,0,30,39,<=50K
55,1,186791,11,9,0,1,2,0,0,0,0,40,39,<=50K
21,4,185948,15,10,4,12,4,0,1,0,0,35,39,<=50K
44,4,291566,11,9,4,3,2,2,1,0,0,60,39,<=50K
27,2,66824,9,13,4,10,2,4,0,3325,0,43,39,<=50K
20,4,205895,15,10,4,12,4,0,0,0,0,20,39,<=50K
35,4,243357,1,7,5,8,5,2,0,0,0,40,39,<=50K
50,7,24790,11,9,2,6,1,0,1,0,0,40,39,<=50K
27,4,176683,8,11,2,8,1,0,1,0,0,60,39,<=50K
70,5,131699,9,13,0,4,5,0,0,0,0,55,39,<=50K
56,6,170217,11,9,2,5,1,0,1,0,0,45,39,<=50K
23,4,53245,9,13,4,12,2,0,1,0,1602,12,39,<=50K
24,4,186495,11,9,0,1,2,0,0,0,0,32,39,<=50K
62,0,191188,11,9,2,0,1,0,1,0,0,40,39,<=50K
23,4,13769,15,10,2,7,1,4,1,0,0,30,39,<=50K
31,4,157078,0,6,4,1,5,0,0,0,0,40,39,<=50K
28,2,175796,7,12,4,1,2,0,0,0,0,40,39,<=50K
36,4,176050,15,10,2,7,1,0,1,0,0,40,39,<=50K
17,4,195505,0,6,4,12,4,0,1,0,0,5,39,<=50K
60,4,127084,11,9,2,11,1,0,1,0,2042,34,39,<=50K
77,5,192230,15,10,2,4,1,0,1,0,0,40,39,<=50K
33,1,137059,15,10,4,8,2,0,0,0,0,10,39,<=50K
28,4,66095,11,9,2,12,1,0,1,0,0,40,39,<=50K
43,4,34007,11,9,2,3,1,0,1,0,0,40,39,>50K
29,7,309620,12,14,2,10,1,3,1,0,0,20,36,<=50K
34,4,193565,1,7,2,3,1,0,1,0,0,40,39,<=50K
33,6,62932,11,9,2,3,1,0,1,0,0,40,39,<=50K
33,4,181091,0,6,0,3,2,0,1,0,0,35,9,<=50K
55,4,168956,15,10,0,1,2,0,0,0,0,40,39,<=50K
27,7,346406,9,13,4,10,5,0,1,0,0,50,39,<=50K
55,4,49737,15,10,2,12,1,0,1,0,0,50,39,<=50K
20,4,197997,15,10,4,10,4,0,1,0,0,40,39,<=50K
20,4,386864,0,6,4,8,3,0,1,0,0,35,26,<=50K
51,4,128143,15,10,2,3,1,0,1,0,0,40,39,>50K
47,4,246396,11,9,2,1,1,0,1,0,0,40,26,<=50K
30,4,156464,12,14,4,10,2,0,1,0,0,45,39,>50K
22,4,201799,11,9,4,12,4,0,0,0,0,40,39,<=50K
75,4,71898,13,1,4,9,2,3,0,0,0,48,30,<=50K
40,4,266803,7,12,0,4,2,0,0,0,0,40,39,>50K
42,2,189956,9,13,0,10,5,2,0,0,0,30,39,<=50K
58,6,61474,11,9,2,12,1,0,1,0,0,55,39,>50K
22,0,121070,15,10,4,0,4,0,1,0,0,35,39,<=50K
40,4,377322,11,9,2,3,1,2,1,0,0,40,39,>50K
33,4,205469,15,10,2,4,1,0,1,0,0,40,39,>50K
60,5,181196,15,10,2,4,1,0,1,0,0,40,39,>50K
53,4,200190,15,10,0,3,2,0,1,0,0,40,39,>50K
50,6,172281,11,9,2,4,1,0,1,7688,0,50,39,>50K
36,4,33001,11,9,0,5,5,0,1,0,0,50,39,<=50K
64,6,149698,14,15,2,10,1,0,1,0,0,40,39,>50K
37,4,105044,15,10,2,4,1,0,1,0,0,42,39,>50K
43,4,102025,12,14,2,10,1,1,1,0,0,50,39,<=50K
38,2,37931,11,9,2,11,1,0,1,0,0,40,39,>50K
24,4,162282,11,9,4,3,2,0,1,0,0,40,39,<=50K
53,4,150980,15,10,2,7,1,0,1,3137,0,40,39,<=50K
22,4,250647,15,10,4,1,4,0,1,0,0,12,39,<=50K
28,2,201099,11,9,4,14,4,2,0,0,0,40,39,<=50K
52,4,286342,11,9,0,7,2,0,0,0,0,38,39,<=50K
26,4,287797,15,10,2,3,1,0,1,0,0,45,39,<=50K
21,4,265148,11,9,4,6,3,0,1,0,0,38,23,<=50K
45,5,191776,12,14,0,12,5,0,0,25236,0,42,39,>50K
32,4,73585,8,11,2,3,1,0,1,0,0,40,39,<=50K
26,4,142506,9,13,4,10,5,2,0,0,0,35,39,<=50K
58,2,239405,4,3,0,8,3,2,0,0,0,40,14,<=50K
48,7,148306,12,14,0,10,5,0,0,0,0,40,39,<=50K
48,4,173243,10,16,2,10,1,0,1,0,0,45,39,>50K
25,4,124590,11,9,4,4,3,0,1,0,0,40,39,<=50K
29,1,155970,11,9,2,13,1,0,1,0,0,40,39,>50K
36,4,269722,9,13,2,4,1,0,1,0,0,55,39,>50K
31,4,152940,15,10,2,3,1,0,1,0,0,40,39,<=50K
33,2,190290,8,11,4,11,2,0,1,0,0,56,39,<=50K
23,4,214542,9,13,4,6,2,0,1,0,0,40,39,<=50K
22,4,317019,15,10,4,8,2,0,0,0,0,30,39,<=50K
34,7,209317,15,10,2,11,1,0,1,0,0,40,39,<=50K
33,7,913447,15,10,0,8,5,2,0,0,0,40,39,<=50K
41,4,280167,12,14,2,4,1,0,1,15024,0,70,39,>50K
21,4,129980,6,5,4,14,4,0,1,0,0,40,39,<=50K
36,4,146625,1,7,6,8,5,2,0,0,0,12,39,<=50K
37,4,162494,9,13,4,1,2,0,0,0,0,40,39,<=50K
29,4,272913,11,9,2,1,1,0,1,0,0,30,26,<=50K
40,4,283724,6,5,4,3,3,2,1,0,0,49,39,<=50K
25,4,176729,11,9,2,3,1,0,1,0,0,40,39,>50K
44,4,232421,11,9,3,14,2,1,1,0,0,32,2,<=50K
18,4,391585,11,9,4,7,3,0,0,0,0,40,39,<=50K
27,4,218785,11,9,2,4,6,0,0,0,0,40,39,<=50K
43,7,308498,11,9,3,4,5,0,0,0,0,40,39,<=50K
17,4,47771,1,7,4,10,4,0,0,0,0,20,39,<=50K
50,5,101094,12,14,2,12,1,0,1,0,0,55,39,<=50K
64,4,166715,15,10,2,4,1,0,1,0,0,20,39,<=50K
46,4,202560,15,10,2,1,6,0,0,0,0,40,39,>50K
40,4,227236,11,9,2,12,1,0,1,0,0,50,39,<=50K
33,0,186824,15,10,4,0,4,0,1,0,0,40,39,<=50K
54,4,185407,11,9,2,3,1,0,1,7688,0,40,39,>50K
18,4,150817,11,9,4,12,4,0,0,0,0,20,39,<=50K
49,4,101320,7,12,2,12,6,0,0,0,1902,40,39,>50K
30,6,347166,11,9,0,3,2,0,1,0,0,40,39,<=50K
30,4,303990,11,9,4,14,2,0,1,0,0,60,39,<=50K
19,4,104844,15,10,4,12,4,0,0,0,0,15,39,<=50K
57,2,148509,9,13,2,10,1,3,1,0,0,35,19,<=50K
38,4,34173,9,13,4,12,5,0,0,0,0,45,39,<=50K
43,4,235556,15,10,3,12,2,0,1,0,0,45,26,<=50K
68,0,65730,11,9,2,0,1,0,1,0,0,25,39,<=50K
30,6,131584,8,11,4,3,4,0,1,0,0,60,39,<=50K
34,4,149507,11,9,2,3,1,0,1,0,0,55,39,>50K
28,4,119793,15,10,4,1,4,0,1,0,0,40,39,<=50K
41,4,187336,11,9,5,1,5,0,0,0,0,40,39,<=50K
38,4,189404,11,9,3,8,2,0,1,0,0,35,0,<=50K
30,2,233993,9,13,4,10,4,0,0,0,0,15,39,<=50K
45,2,304973,11,9,2,11,1,0,1,0,0,78,39,>50K
27,4,167405,11,9,3,5,4,0,0,0,0,40,26,<=50K
34,4,37210,11,9,4,1,4,0,1,0,0,50,39,<=50K
37,4,333305,10,16,2,10,6,0,0,0,0,35,39,<=50K
22,4,378104,11,9,4,6,4,0,1,0,0,40,39,<=50K
51,7,194475,15,10,0,10,2,0,0,0,0,40,39,<=50K
39,4,187098,14,15,2,4,6,0,0,15024,0,47,39,>50K
35,4,103605,1,7,2,5,1,0,1,0,0,40,39,<=50K
30,4,174543,7,12,4,10,4,0,0,0,0,40,39,<=50K
61,4,83045,6,5,2,7,1,0,1,0,0,40,39,<=50K
44,4,89172,9,13,2,3,1,0,1,0,0,50,39,>50K
38,4,48779,15,10,2,14,1,0,1,0,0,40,39,>50K
21,4,460835,11,9,4,12,3,0,1,0,0,45,39,<=50K
35,4,112077,11,9,2,6,1,0,1,5013,0,40,39,<=50K
57,4,167864,8,11,6,10,2,0,0,0,0,40,39,<=50K
46,4,167515,15,10,2,10,1,0,1,0,1977,50,39,>50K
29,7,147256,7,12,4,10,2,2,1,0,0,40,39,>50K
41,4,122626,11,9,0,6,5,0,1,0,0,48,39,<=50K
32,4,223212,13,1,2,7,1,0,1,0,0,40,26,<=50K
34,6,123429,11,9,2,12,1,0,1,0,0,60,39,<=50K
46,4,403911,8,11,2,3,1,2,1,0,0,40,39,>50K
53,4,30447,11,9,0,7,2,0,1,0,0,50,39,<=50K
25,4,397317,7,12,4,10,2,0,0,0,0,40,39,<=50K
43,4,245056,11,9,2,1,1,2,1,0,0,40,39,>50K
50,5,160107,12,14,2,10,1,0,1,0,0,55,39,>50K
25,4,206343,11,9,4,11,3,0,1,0,0,40,39,<=50K
48,4,175925,11,9,2,7,1,0,1,0,0,48,39,<=50K
47,6,216657,11,9,2,5,1,0,1,0,0,60,39,<=50K
40,4,199900,7,12,2,4,1,0,1,0,1848,55,39,>50K
31,6,268482,6,5,2,3,1,0,1,0,0,40,39,<=50K
48,2,238959,12,14,0,4,5,2,0,9562,0,40,39,>50K
